Track ID,Frame,Center X,Center Y,Mask Area
189,1,1793,757,5324
189,2,1792,758,5329
189,3,1790,757,5146
189,4,1788,756,5144
189,5,1788,756,5103
189,6,1789,756,5099
189,7,1788,757,4935
189,8,1779,719,3832
189,9,1773,719,3525
189,10,1771,721,3398
189,11,1770,723,3360
189,12,1767,722,3250
190,1,1184,624,28861
190,2,1164,360,6818
190,3,1152,350,7202
190,4,1149,353,8424
192,1,1506,408,543
192,2,1508,412,617
192,3,1506,415,624
192,4,1499,415,695
192,5,1498,416,748
192,6,1496,415,767
192,7,1496,418,785
192,8,1491,417,894
234,1,1564,546,630
234,2,1566,550,629
234,3,1563,551,704
234,4,1561,553,758
234,5,1561,556,859
234,6,1561,557,918
234,7,1560,560,1003
234,8,1557,561,1108
234,9,1556,561,1082
234,10,1547,553,1368
234,11,1544,555,1614
234,12,1543,558,1653
245,2,116,291,331
245,3,108,294,312
246,2,561,525,614
246,3,559,529,718
246,4,557,529,746
246,5,552,530,834
246,6,533,534,1103
249,2,1849,456,282
249,3,1844,457,334
249,4,1844,456,355
249,5,1862,467,667
249,6,1862,468,680
249,7,1860,465,667
249,8,1858,461,808
249,9,1859,460,881
249,10,1858,460,949
249,11,1859,458,945
249,12,1864,457,919
250,3,349,273,1429
250,4,344,274,1686
250,5,340,279,1661
250,6,334,280,1707
250,7,330,285,1822
250,8,327,289,1754
250,9,322,288,1741
250,10,349,316,2385
250,11,346,319,2556
250,12,344,322,2570
251,3,841,611,154
251,4,836,606,248
251,5,835,604,261
251,6,834,604,256
251,7,829,600,399
251,8,829,599,530
251,9,831,599,564
251,10,831,600,557
251,11,832,600,532
251,12,831,601,493
253,3,600,597,465
253,4,604,599,536
195,3,1172,594,29462
195,4,950,455,36322
195,5,1001,469,31111
195,6,1059,517,31000
195,7,1028,505,31848
195,8,1021,502,34680
195,9,1040,500,35341
195,10,1050,501,37318
195,11,1033,501,36995
195,12,1035,506,36163
197,4,1545,758,2703
197,5,1552,752,2460
197,6,1551,746,2653
197,7,1554,735,2713
197,8,1543,738,2886
197,9,1547,737,2917
197,10,1517,748,3835
197,11,1494,725,3194
197,12,1483,721,3274
210,4,1888,289,1135
210,5,1895,320,713
210,6,1894,319,748
210,7,1893,319,768
210,8,1890,320,807
210,9,1889,320,785
210,10,1889,328,731
210,11,1889,322,708
210,12,1893,329,586
256,5,662,376,351
256,6,656,377,409
257,5,476,539,270
259,5,65,302,950
259,6,57,309,921
259,7,51,310,892
259,8,50,311,909
259,9,48,314,939
259,10,45,314,903
259,11,45,315,947
259,12,43,316,950
260,5,1693,812,113
260,6,1693,819,144
260,7,1694,817,142
260,8,1695,823,140
260,9,1700,826,230
260,10,1701,828,249
260,11,1701,829,259
260,12,1701,828,257
218,5,690,579,258
218,6,688,578,245
218,7,691,579,219
261,6,410,630,653
261,7,414,631,756
264,6,1050,856,947
264,7,1045,860,1030
264,8,1040,862,1077
264,9,1043,861,1120
264,10,1040,865,1114
265,6,135,194,472
265,7,129,191,422
266,9,446,396,526
267,9,1809,887,1244
267,10,1818,891,1607
267,11,1819,892,1711
267,12,1818,892,1774
268,9,846,124,255
268,10,846,127,264
268,11,840,123,376
268,12,834,119,448
269,9,332,68,3789
269,10,309,52,3563
269,11,416,78,2163
269,12,406,77,2100
183,9,1631,719,357
198,9,1433,776,1180
271,11,305,124,345
271,12,300,125,354
272,11,1862,217,397
272,12,1864,217,424
273,12,567,24,507
274,12,1633,707,248
275,12,688,95,317
201,12,676,649,8305
