Track ID,Frame,Center X,Center Y,Mask Area
1,1,1643,703,12315
1,2,1645,700,12452
1,3,1649,699,12532
1,4,1652,696,12916
1,5,1656,697,13008
1,6,1660,697,13245
1,7,1662,698,13052
1,8,1665,697,13137
1,9,1666,697,13214
1,10,1670,699,13156
1,11,1674,701,13153
1,12,1674,701,13518
1,13,1676,703,13158
1,14,1677,701,13392
1,15,1679,699,13675
1,16,1683,700,13474
1,17,1687,696,13760
1,18,1691,696,14110
1,19,1695,697,14130
1,20,1701,699,14007
1,21,1704,698,13897
1,22,1706,697,13731
1,23,1706,694,13576
1,24,1707,693,13526
1,25,1711,694,13236
2,1,1264,325,418
2,2,1276,319,529
2,3,1279,317,538
2,4,1279,316,524
2,5,1286,311,588
2,6,1285,312,556
2,7,1289,311,658
2,8,1294,308,616
2,9,1286,305,499
2,10,1277,303,342
2,12,1269,302,284
2,13,1272,302,244
3,1,1320,397,406
3,2,1317,393,626
3,3,1314,392,550
3,4,1317,384,685
3,5,1313,379,729
3,6,1294,370,964
3,7,1299,367,996
3,8,1307,366,1160
3,9,1313,365,1156
3,10,1316,359,1130
3,17,1329,337,1229
3,18,1324,332,1295
3,23,1332,326,1554
3,24,1338,326,1571
4,1,1239,510,145
4,2,1241,505,236
4,3,1247,504,277
4,4,1260,507,354
4,5,1270,506,371
4,6,1275,501,515
4,7,1289,500,537
4,8,1297,498,546
4,9,1302,492,621
4,10,1312,488,648
4,11,1322,484,620
4,12,1325,478,712
4,13,1338,475,718
4,14,1344,472,686
4,15,1350,466,847
4,16,1364,465,893
5,1,1120,778,780
5,2,1125,773,889
5,3,1143,772,887
5,4,1162,773,874
5,5,1173,769,754
5,6,1181,764,794
5,7,1189,759,652
5,8,1218,766,664
5,9,1230,766,745
6,1,1451,887,407
6,2,1463,889,402
6,3,1475,894,369
6,4,1482,896,396
6,5,1484,894,417
6,6,1494,903,249
6,7,1510,909,175
8,4,1075,407,1003
8,5,1083,404,1083
8,6,1090,404,1170
8,7,1099,401,1339
8,8,1105,401,1471
8,9,1114,399,1499
8,10,1118,394,1783
8,11,1209,374,3243
8,12,1203,381,3060
8,13,1207,378,3143
8,14,1209,375,3358
8,15,1214,378,3486
8,16,1220,375,3588
8,17,1213,408,2895
8,18,1240,386,3936
8,19,1249,382,4131
8,20,1245,387,3903
8,21,1260,382,4520
8,22,1265,383,4902
8,23,1242,404,3351
8,24,1250,401,3513
8,25,1276,380,4728
9,4,1222,362,254
9,5,1221,358,189
11,10,1440,646,387
11,11,1444,644,399
11,12,1451,642,417
12,13,1462,887,248
12,14,1463,882,218
12,15,1484,892,221
12,16,1492,891,143
13,20,1493,859,223
13,21,1501,856,171
