Track ID,Frame,Center X,Center Y,Mask Area
130,1,610,785,31239
130,2,608,781,31667
130,3,606,781,31585
130,4,633,781,34659
130,5,636,776,33717
130,6,638,772,34831
130,7,819,760,23049
130,8,658,769,36133
130,9,657,772,36011
130,10,844,752,20999
130,11,849,754,21069
130,12,682,771,37557
89,1,1479,727,15825
89,2,1487,722,14664
89,3,1471,727,13174
89,4,1480,729,13473
89,5,1486,728,14042
89,6,1489,724,13947
89,7,1494,721,12294
89,8,1495,717,12260
89,9,1495,708,12198
89,10,1508,707,12970
89,11,1523,710,12893
89,12,1524,716,11482
139,2,1767,436,7101
139,3,1769,438,7213
139,4,1769,439,7221
139,5,1771,440,7239
139,6,1772,442,7281
139,7,1773,442,7208
139,8,1774,442,7085
139,9,1775,442,7156
139,10,1777,444,7153
139,11,1777,444,7086
139,12,1778,445,6988
140,2,1191,86,249
140,3,1195,85,287
140,4,1198,87,320
140,5,1192,83,315
140,6,1192,84,306
140,7,1191,83,281
140,8,1190,82,310
140,9,1191,85,371
140,10,1191,85,392
140,11,1188,83,431
140,12,1190,82,480
141,2,1701,46,441
141,3,1701,46,457
141,4,1703,46,510
141,5,1704,47,533
141,6,1703,46,520
141,7,1703,47,549
141,8,1714,43,711
141,9,1713,45,748
141,10,1713,45,786
141,11,1714,45,817
141,12,1716,50,891
142,2,117,584,2504
142,3,115,581,2556
142,4,116,581,2577
142,5,116,581,2600
142,6,115,580,2643
142,7,111,580,2597
142,8,108,579,2643
142,9,103,577,2636
142,10,103,576,2638
142,11,106,576,2820
142,12,103,572,2907
143,3,1689,158,420
143,4,1691,158,429
143,5,1689,157,399
143,6,1686,155,440
143,7,1687,152,478
143,8,1689,153,519
143,9,1691,154,570
143,10,1693,154,603
143,11,1694,155,649
143,12,1691,157,568
144,3,941,760,51042
144,4,945,762,51653
144,5,941,761,51376
144,6,937,759,51670
144,7,929,760,49767
144,8,942,759,49926
144,9,950,758,51202
144,10,890,762,49195
144,11,702,769,39795
144,12,949,758,50147
146,7,1101,142,827
146,8,1102,143,862
146,9,1119,159,1228
146,10,1119,159,1233
146,11,1120,160,1409
146,12,1123,160,1562
148,8,1173,139,234
148,9,1179,139,183
148,10,1187,138,141
148,11,1181,142,50
148,12,1179,143,49
149,8,1180,214,288
151,12,1343,220,251
