Track ID,Frame,Center X,Center Y,Mask Area
341,1,612,781,23946
341,2,611,777,25405
341,3,629,771,26014
341,4,661,761,27490
341,5,646,763,26691
341,6,652,763,26517
341,7,769,778,19896
341,8,786,772,19893
341,9,792,771,20355
341,10,891,767,18672
341,11,803,748,26208
341,12,821,748,25900
285,1,1009,466,31078
285,2,1013,461,31127
285,3,1011,463,31748
285,4,1017,465,31451
285,5,1024,469,30370
285,6,1029,472,29721
285,7,1038,483,28094
285,8,1047,478,29276
285,9,1053,492,27429
285,10,1064,493,27888
285,11,1071,498,28656
285,12,1081,505,28283
364,2,1359,904,1076
364,3,1372,903,1122
364,4,1390,901,1160
364,5,1402,903,1205
364,6,1421,900,1167
364,7,1495,892,669
364,8,1504,889,684
364,9,1476,898,1291
364,10,1535,898,590
364,11,1552,896,606
365,2,110,538,1243
365,3,123,532,1210
365,4,129,525,1267
365,5,113,523,1285
365,6,126,516,1168
365,7,137,515,1473
365,8,152,506,1372
365,9,146,507,1309
365,10,158,500,961
365,11,165,499,949
365,12,189,488,971
332,7,800,139,814
332,8,819,119,630
332,9,826,124,741
332,10,835,120,610
332,11,844,128,477
332,12,865,137,543
366,9,1534,660,921
366,10,1584,662,679
366,11,1591,659,571
366,12,1604,656,466
