Track ID,Frame,Center X,Center Y,Mask Area
1,1,1742,824,4925
1,2,1745,803,3866
1,3,1728,755,2810
1,4,1730,757,2358
1,5,1744,754,1987
1,6,1726,778,2298
1,7,1721,794,3093
1,8,1722,792,3107
1,9,1729,813,3506
1,10,1757,834,2416
1,11,1803,694,723
1,12,1712,650,954
1,13,1692,638,1146
1,14,1604,603,705
1,15,1613,606,711
1,16,1615,605,726
1,17,1607,589,481
1,18,1604,585,489
1,19,1609,585,525
1,20,1619,589,572
14,2,359,723,8523
14,3,359,725,8545
14,4,461,816,4632
14,5,379,727,8691
14,6,383,725,8596
14,7,390,719,8228
14,8,402,721,9076
14,9,516,835,4393
14,10,523,833,4540
14,11,520,834,4331
14,12,522,831,4387
14,13,516,819,4891
14,14,516,818,4922
14,15,542,835,4230
14,16,554,834,4353
14,17,565,836,4654
14,18,577,848,4291
14,19,590,854,3875
14,20,597,855,3748
14,21,598,849,4054
15,2,427,209,1971
15,3,423,208,1921
15,4,417,210,1625
15,5,413,207,1578
15,6,415,207,1632
15,7,414,207,1650
15,8,410,205,1626
15,9,407,203,1577
15,10,401,204,1536
15,11,395,203,1616
15,12,386,195,1728
15,13,393,199,1547
15,14,416,204,1140
15,15,415,203,1051
15,16,414,201,942
15,17,401,196,797
15,18,402,188,900
15,19,408,195,798
15,20,409,195,704
15,21,413,196,661
16,2,878,520,12246
16,3,877,517,12457
16,4,884,521,12616
16,5,891,526,11738
16,6,893,524,12391
16,7,899,526,12438
16,8,901,528,12347
16,9,902,528,12304
16,10,901,529,12089
16,11,904,530,12209
16,12,902,528,12251
16,13,905,530,12350
16,14,910,538,12841
16,15,909,528,11851
16,16,913,528,11611
16,17,924,537,12394
16,18,928,538,12599
16,19,930,533,11975
16,20,936,548,13210
16,21,940,550,13384
17,2,273,220,450
17,3,271,219,436
17,4,267,216,395
17,5,264,214,370
17,6,262,211,354
17,7,259,210,389
17,8,261,211,410
17,9,255,205,402
17,10,251,201,352
17,11,247,197,326
17,12,238,195,367
17,13,238,195,375
17,14,238,196,322
17,15,236,195,353
17,16,234,194,341
17,17,239,194,339
17,18,239,194,317
17,19,236,195,302
18,2,1703,308,716
18,3,1702,308,712
18,4,1701,310,725
18,5,1700,310,725
18,6,1698,310,752
18,7,1696,309,727
18,8,1696,313,766
18,9,1702,336,409
18,10,1701,336,397
18,11,1700,336,347
18,12,1686,311,806
18,13,1687,317,754
18,14,1686,313,776
18,15,1686,315,795
18,16,1686,316,781
18,17,1679,312,854
18,18,1683,316,851
18,19,1682,314,830
18,20,1683,315,822
18,21,1689,323,656
19,2,111,30,507
19,3,104,30,514
19,4,103,31,516
19,5,106,32,537
19,6,105,32,550
19,7,104,33,604
19,8,104,34,619
19,9,103,35,634
19,10,101,36,662
19,11,102,37,757
19,12,102,38,807
19,13,102,39,820
19,14,102,39,842
19,15,102,40,871
19,16,99,39,875
19,17,99,39,851
20,2,890,52,1154
20,3,892,52,1157
20,4,894,51,1167
20,5,898,51,1126
20,6,897,58,925
20,7,897,58,922
20,8,900,58,921
20,9,901,58,890
20,10,903,59,864
20,11,901,60,793
20,12,900,60,763
20,13,901,59,705
20,14,901,59,673
20,15,899,61,618
20,16,892,65,538
20,17,892,65,484
20,18,895,63,455
20,19,886,69,370
21,2,1886,409,388
21,3,1883,409,333
21,4,1882,412,324
21,5,1883,412,332
21,6,1882,411,311
21,7,1883,412,324
21,8,1886,410,266
21,9,1890,403,248
21,10,1890,410,278
21,11,1891,408,275
21,12,1887,405,340
21,13,1890,406,319
21,14,1891,411,338
21,15,1887,406,324
21,16,1890,414,334
21,17,1890,419,377
21,18,1885,419,444
21,19,1885,417,416
21,20,1887,400,326
21,21,1887,399,332
22,2,662,302,820
22,3,666,303,748
22,4,671,317,503
22,5,683,338,347
24,2,703,24,855
24,3,695,25,787
24,4,687,24,717
24,5,684,24,679
24,6,676,22,603
24,7,675,22,588
24,8,676,22,577
24,9,679,22,580
25,3,61,161,2243
25,4,63,161,2301
25,5,59,139,1753
25,6,53,138,1835
25,7,57,138,1613
25,8,58,131,1383
25,9,54,130,1362
25,10,54,95,934
26,4,959,717,494
26,5,963,719,515
26,6,971,723,511
26,7,980,723,558
26,8,985,722,551
26,9,989,724,637
26,10,993,728,681
26,11,1003,729,731
26,12,1013,729,730
26,16,1024,722,902
26,17,1028,724,885
26,18,1041,715,749
26,19,1031,719,865
27,5,186,586,3119
27,6,190,585,3006
27,7,192,585,2970
27,8,191,584,2980
27,9,191,583,2966
27,10,192,582,2888
27,11,194,582,2808
27,12,191,580,2714
27,13,193,579,2623
27,14,196,579,2546
27,15,211,582,2752
27,16,214,581,2785
27,17,218,581,2903
27,18,219,580,2899
27,19,207,579,2999
27,21,213,580,3094
28,5,1289,899,1814
28,6,1295,899,1743
28,7,1305,900,1820
28,8,1310,902,1738
28,9,1319,902,1681
28,10,1330,901,1758
28,11,1337,903,1796
28,12,1350,904,1866
28,13,1355,904,1843
28,14,1363,904,1874
28,15,1371,905,1910
28,16,1379,905,1862
28,17,1383,905,1949
28,18,1408,907,2160
28,19,1415,907,2225
28,20,1419,906,2254
28,21,1423,906,2345
29,6,1628,434,768
29,7,1628,432,780
29,8,1627,431,760
29,9,1626,429,745
29,10,1627,428,820
29,11,1635,433,828
29,12,1638,432,669
29,13,1648,438,526
29,14,1652,440,607
29,15,1647,434,544
29,16,1643,436,717
29,17,1644,439,1041
29,18,1643,438,1052
29,19,1649,442,1088
29,20,1656,444,1047
29,21,1664,450,1083
30,6,524,16,153
30,7,524,17,166
30,8,526,17,156
30,9,520,16,181
30,10,520,18,198
30,11,519,18,199
30,12,519,19,215
30,13,515,19,243
30,14,510,17,193
30,15,509,17,204
30,16,504,21,254
30,17,502,21,242
30,18,502,21,236
30,19,500,16,203
30,20,504,18,211
30,21,504,18,214
31,6,674,766,211
31,7,675,765,211
31,8,682,768,260
31,9,683,763,230
31,10,683,761,216
31,11,687,764,202
31,12,689,764,221
31,13,693,773,250
31,14,694,773,262
31,15,701,769,168
32,7,625,370,286
32,8,626,368,333
32,9,628,368,341
32,10,626,364,346
32,11,631,365,383
32,12,631,363,380
32,13,632,361,370
32,14,631,359,443
32,15,636,360,438
32,16,634,358,389
32,17,628,352,325
33,7,788,759,1854
33,8,780,775,2229
33,9,781,781,2367
33,10,783,782,2419
33,11,792,773,1972
33,12,796,777,2037
33,13,802,777,1930
33,14,802,793,2251
33,15,809,793,2114
33,16,811,793,1921
33,17,807,796,2252
33,18,806,802,2443
33,19,820,795,1890
33,20,816,795,1784
33,21,811,795,2089
35,10,1746,77,4747
35,11,1748,76,4687
35,12,1748,76,4751
35,13,1755,74,4485
35,14,1755,76,4624
35,15,1759,77,4596
35,16,1762,77,4590
35,17,1764,76,4500
