Track ID,Frame,Center X,Center Y,Mask Area
35,1,1652,63,5662
35,2,1658,63,5395
48,2,1403,535,627
48,3,1407,540,524
48,4,1408,540,540
48,5,1407,540,529
48,6,1412,541,525
48,7,1415,542,538
48,8,1415,542,537
48,9,1414,541,542
48,10,1416,542,559
48,11,1418,543,570
48,12,1422,545,619
49,2,1795,591,2086
49,3,1794,591,2083
49,4,1796,592,2197
49,5,1801,590,2195
49,6,1797,588,2130
49,7,1797,588,2159
49,8,1798,588,2138
49,9,1805,585,2041
49,10,1815,583,2084
49,11,1816,582,2087
49,12,1817,582,2060
50,2,1320,650,3070
50,3,1322,656,3140
50,4,1320,659,3190
50,5,1311,664,3386
50,6,1307,671,3569
50,7,1310,668,3316
51,2,1063,826,3334
51,3,1079,821,3376
51,4,1087,820,3334
51,5,1088,821,2957
51,6,1094,819,2980
51,7,1119,815,3299
51,8,1139,812,3439
51,9,1141,815,3361
51,10,1149,812,3357
51,11,1158,811,3627
51,12,1172,807,3741
52,2,43,746,541
52,3,45,746,575
52,4,41,744,698
52,5,42,741,692
52,6,45,740,751
52,7,51,742,738
52,8,51,741,730
52,9,49,739,817
52,10,53,738,881
52,11,76,758,492
52,12,83,759,510
54,2,1545,455,1392
54,3,1544,456,1361
54,4,1541,457,1419
54,5,1548,453,1517
54,6,1544,455,1465
54,7,1547,453,1458
54,8,1548,453,1533
54,9,1548,453,1512
54,10,1548,470,1788
54,11,1547,470,1751
54,12,1545,469,1667
55,2,969,747,583
55,3,967,748,556
55,4,970,746,581
55,5,972,744,611
55,6,974,746,615
55,7,979,741,702
55,8,985,740,735
55,9,984,738,711
55,10,983,739,810
55,11,984,740,891
55,12,986,740,906
56,2,457,313,1398
56,3,452,316,1359
56,4,450,315,1395
56,5,448,315,1419
56,6,451,309,1521
56,7,448,312,1391
56,8,440,316,1440
56,9,440,314,1439
56,10,438,314,1435
56,11,437,312,1357
56,12,435,311,1319
57,2,558,724,368
57,3,564,729,396
57,4,571,726,389
57,5,580,724,346
57,6,587,724,385
57,7,592,725,418
57,8,603,722,371
57,9,611,725,371
57,10,619,724,356
57,11,628,725,445
57,12,632,724,361
58,2,1181,482,763
58,3,1182,481,755
58,4,1170,483,736
58,5,1171,482,691
58,6,1164,485,761
58,7,1157,487,848
58,12,1125,492,1090
59,2,1418,625,316
59,3,1419,624,299
59,4,1418,623,289
59,5,1420,623,253
59,6,1423,624,277
59,7,1421,624,269
59,8,1417,625,248
59,9,1419,625,245
59,10,1418,631,119
59,11,1418,632,122
59,12,1419,632,127
60,2,1333,438,571
60,3,1338,438,577
60,4,1335,434,525
60,5,1332,437,569
60,6,1330,433,473
60,7,1329,433,467
60,8,1326,432,413
60,9,1328,431,405
60,10,1332,432,337
60,11,1333,434,328
60,12,1337,436,380
61,2,1422,804,312
61,3,1437,810,305
61,4,1440,810,273
61,5,1449,818,322
61,6,1459,817,282
61,7,1481,819,449
61,8,1484,820,452
61,9,1486,821,492
61,10,1484,821,458
61,12,1496,823,395
62,2,1725,208,288
62,3,1734,204,201
62,4,1735,206,187
62,5,1737,206,193
62,6,1742,205,231
62,7,1747,201,230
62,8,1756,195,209
62,9,1759,195,229
62,10,1758,200,278
62,11,1758,201,263
62,12,1760,203,200
63,2,596,519,807
63,3,593,518,755
63,4,587,518,745
63,5,584,518,757
63,6,563,516,604
63,7,561,516,609
63,8,556,516,638
63,9,551,515,610
63,10,549,515,614
63,11,551,516,626
63,12,547,516,649
1,2,1563,581,608
1,3,1566,581,681
1,4,1564,578,658
1,5,1564,577,630
1,6,1560,577,600
1,7,1559,580,547
1,8,1558,578,501
1,9,1556,576,453
65,3,790,25,1020
65,4,796,24,1009
65,5,802,23,1019
65,6,808,23,1057
65,7,814,23,1096
65,8,821,23,1116
65,9,822,22,1170
65,10,839,24,1239
65,11,846,25,1283
65,12,855,25,1266
66,3,390,676,1443
66,4,394,677,1421
66,5,390,675,1531
66,6,395,678,1571
66,7,403,680,1515
66,8,408,679,1421
66,9,409,678,1494
66,10,406,678,1729
66,11,416,679,1610
66,12,422,680,1622
67,4,1841,444,2048
67,5,1841,444,2077
67,6,1841,442,2101
67,7,1841,442,2089
67,8,1842,440,2038
67,9,1841,438,1992
67,10,1839,438,2036
67,11,1838,438,2045
67,12,1835,439,1997
68,4,1498,105,11104
68,5,1485,103,11174
68,6,1483,102,11444
68,7,1479,108,12199
68,8,1476,127,10725
68,9,1484,123,11266
68,10,1478,129,12121
68,11,1479,141,12813
68,12,1491,143,12983
69,4,1527,302,348
69,5,1521,306,391
69,6,1517,308,426
69,7,1521,308,462
69,8,1517,311,475
69,9,1521,310,515
69,10,1525,310,499
70,4,167,373,531
70,5,167,370,541
70,6,168,369,463
70,7,167,366,417
70,8,165,340,238
70,9,164,340,238
70,10,168,340,334
29,4,1665,485,804
29,5,1663,485,762
29,6,1658,486,697
29,8,1659,486,731
29,9,1661,487,768
29,10,1660,487,743
29,11,1658,487,721
29,12,1658,489,740
71,7,1517,270,291
71,8,1526,267,214
72,7,1278,612,1955
72,8,1279,614,2054
72,9,1275,612,2088
72,10,1277,616,2025
72,11,1264,608,1715
72,12,1257,606,1703
73,9,1499,716,791
73,10,1507,718,741
73,11,1505,714,708
73,12,1510,715,661
74,9,558,311,278
74,10,558,311,276
74,11,558,313,310
74,12,553,310,302
75,11,903,544,2420
75,12,905,543,2393
76,12,848,923,310
