Track ID,Frame,Center X,Center Y,Mask Area
61,2,803,138,933
61,3,800,139,898
61,4,796,139,865
61,5,785,132,1045
61,6,783,132,1138
61,7,781,131,1123
61,8,781,132,1272
61,9,782,132,1311
61,10,784,133,1346
61,11,785,131,1314
61,12,783,129,1382
62,2,78,174,408
62,3,77,171,425
62,4,76,168,490
62,5,72,176,469
62,9,67,174,309
62,10,73,185,356
62,11,73,197,481
62,12,73,193,494
63,2,722,910,573
63,3,718,912,508
63,4,714,919,432
63,5,709,920,354
63,6,708,918,328
63,7,705,916,362
63,8,703,916,342
63,9,701,915,308
63,10,706,913,402
63,11,678,917,199
63,12,678,917,194
64,2,1891,466,450
64,3,1889,464,464
64,4,1886,461,458
64,5,1886,461,457
64,6,1886,460,446
64,7,1884,458,507
64,8,1884,456,495
64,9,1883,455,498
64,10,1884,456,502
64,11,1887,460,432
64,12,1887,459,427
66,3,527,876,2903
66,4,526,876,2804
66,5,535,872,3033
66,6,524,883,2468
66,7,482,896,1830
66,8,480,896,1679
66,9,470,893,1863
66,10,468,891,1985
66,11,471,889,1809
66,12,470,888,1824
67,4,1118,236,5494
67,5,1116,235,5359
67,6,1080,224,6547
67,7,1068,222,6701
67,8,1074,227,6679
67,9,1074,228,6522
67,10,1033,220,5334
67,11,1038,220,5279
67,12,1082,224,3971
69,5,171,541,12708
69,6,167,548,13878
69,7,185,420,7239
69,8,182,418,7494
69,9,176,416,7466
69,10,171,423,7257
69,11,168,373,9076
69,12,177,420,6977
70,5,1004,630,1403
70,6,1022,643,1427
71,5,514,113,306
71,6,514,114,300
71,7,514,114,283
71,8,519,110,271
71,9,520,116,459
71,10,520,118,450
71,11,520,117,440
71,12,520,121,425
72,5,1132,562,816
72,6,1134,558,788
72,7,1132,562,847
72,8,1130,560,746
72,9,1127,573,873
73,7,540,802,460
73,8,534,799,465
73,9,537,799,371
73,10,524,802,262
73,11,521,800,234
73,12,512,795,195
74,8,654,838,688
74,9,653,834,515
74,10,666,845,323
74,11,672,826,205
75,8,711,599,7690
75,9,701,623,8380
75,10,660,550,5081
75,11,655,557,4567
75,12,610,590,3017
76,9,1464,516,611
76,10,1460,519,600
76,11,1458,523,615
76,12,1456,524,593
77,10,394,666,479
77,11,395,669,531
77,12,389,670,662
78,11,800,747,3032
78,12,798,743,3252
80,12,1046,625,2071
81,12,1333,304,1100
82,12,93,736,4835
