Track ID,Frame,Center X,Center Y,Mask Area
335,1,560,887,905
335,2,553,882,918
335,3,547,878,768
346,1,1624,745,19499
346,2,1624,742,20144
346,3,1626,741,20195
346,4,1611,739,20500
346,5,1601,739,20646
346,6,1612,737,20514
346,7,1611,736,20327
346,8,1608,737,19730
346,9,1458,748,27893
346,10,1441,749,28666
346,11,1427,758,27126
346,12,1610,752,14574
348,2,263,711,15188
348,3,262,716,15945
348,4,263,709,16413
348,5,471,741,5513
348,6,475,738,5078
349,2,625,745,410
349,3,616,743,424
349,4,614,746,304
349,5,613,746,275
349,6,615,746,273
349,7,614,745,231
349,8,615,746,166
350,2,853,357,241
350,3,849,358,255
350,4,843,362,284
350,5,842,363,303
350,6,839,363,276
350,7,836,365,272
350,8,827,371,314
350,9,821,373,340
353,2,806,836,250
353,3,801,835,279
353,4,800,835,273
353,5,800,835,248
353,6,803,837,242
353,7,795,835,265
353,8,779,830,224
353,9,776,829,235
353,10,782,831,239
354,2,327,596,239
354,3,328,594,217
354,4,325,593,195
356,3,33,441,450
356,4,35,445,523
356,5,34,445,538
357,4,355,408,1497
357,5,353,407,1566
357,6,353,409,1641
357,7,353,407,1726
357,8,353,406,1781
357,9,357,439,2348
357,10,354,461,2702
358,4,1055,777,6872
358,5,1058,780,6765
358,6,1067,781,6658
358,7,1070,783,6890
358,8,1066,783,6963
358,11,1100,789,8789
358,12,1113,788,7370
341,5,163,808,6274
341,6,169,806,5604
341,7,307,755,11972
341,8,300,760,11724
341,9,291,759,11462
341,10,261,672,18863
341,11,252,679,18196
341,12,252,679,17791
360,6,135,537,4608
360,7,132,543,5070
360,8,129,548,5112
360,9,129,549,5094
360,10,126,554,5028
362,7,378,571,617
362,8,359,575,954
362,9,357,573,931
363,9,361,861,222
363,10,359,858,262
363,11,360,858,277
363,12,356,848,421
