Track ID,Frame,Center X,Center Y,Mask Area
414,2,1815,63,229
414,3,1815,63,215
414,4,1815,63,200
414,5,1814,62,188
414,6,1812,62,169
414,7,1810,65,189
414,8,1811,67,112
415,2,1629,744,498
415,3,1632,741,377
415,4,1635,740,352
394,3,570,744,11551
394,4,596,749,11605
285,7,792,769,15727
285,8,808,770,15679
285,9,811,772,14885
285,10,821,769,14936
285,11,843,772,15326
285,12,750,767,8536
285,13,920,780,10997
285,14,681,758,11039
285,15,833,776,7431
285,16,770,786,5975
285,17,788,786,5790
285,18,821,785,6522
417,14,379,545,1511
417,15,382,547,1659
417,16,387,549,1845
417,17,387,550,1788
417,18,394,553,1915
418,15,1597,754,672
418,16,1603,751,640
418,17,1616,754,616
418,18,1617,747,642
419,15,1475,844,4650
419,16,1489,840,5319
419,17,1494,838,5307
419,18,1514,844,4893
