Track ID,Frame,Center X,Center Y,Mask Area
189,1,1755,846,3813
189,2,1759,846,3674
189,3,1761,846,3640
189,4,1765,846,3631
189,5,1770,845,3541
189,6,1778,848,3520
189,7,1776,845,3769
189,8,1783,849,3513
189,9,1789,850,3446
189,10,1793,850,3280
189,11,1800,852,3216
189,12,1808,854,2959
195,1,1188,236,19159
195,2,1193,240,19075
195,3,1217,248,18351
195,4,1220,251,18346
195,5,1240,262,17323
195,6,1240,265,18178
195,7,1244,267,18047
195,8,1248,272,17254
195,9,1250,277,17510
195,10,1250,278,17333
195,11,1251,281,17382
195,12,1255,275,18139
280,2,1663,212,1518
280,3,1662,214,1680
280,4,1660,213,1874
280,5,1658,213,2134
280,6,1655,211,2374
280,7,1654,212,2587
280,8,1649,209,2764
280,9,1647,209,2844
280,10,1645,208,3179
280,11,1644,210,3456
280,12,1642,211,3746
281,2,1058,739,306
281,3,1077,748,333
281,4,1078,744,304
281,5,1103,758,404
281,6,1109,758,420
281,7,1138,773,248
281,8,1139,772,252
281,9,1152,779,274
281,10,1157,781,276
281,11,1160,779,255
281,12,1163,780,243
282,3,1684,433,306
282,4,1684,433,316
282,5,1683,432,337
282,6,1680,431,375
282,7,1680,432,380
282,8,1680,430,392
283,6,1604,378,503
283,7,1600,376,584
283,8,1603,379,639
283,9,1642,411,1349
283,10,1640,411,1504
283,11,1641,413,1587
283,12,1646,416,1714
269,7,799,46,2584
269,8,793,48,2663
269,9,788,51,2791
269,10,786,50,2852
269,11,784,51,2967
269,12,784,52,3089
284,8,534,35,239
284,9,529,30,216
284,10,525,26,205
284,11,525,27,215
284,12,527,28,251
