Track ID,Frame,Center X,Center Y,Mask Area
94,1,1215,565,21400
94,2,1222,562,21596
94,3,1224,564,21683
94,4,1225,564,21158
94,5,1225,565,20948
94,6,1220,586,20180
94,7,1391,538,35184
94,8,1380,534,35460
94,9,1372,536,34207
115,2,283,135,672
115,3,279,137,708
115,4,276,139,666
115,5,276,136,825
115,6,274,135,923
116,2,198,547,437
116,3,196,542,558
116,4,198,542,617
116,5,194,541,663
116,6,193,541,666
116,7,195,540,638
116,8,196,537,697
116,9,195,535,749
117,2,243,48,1505
117,3,236,47,1584
117,4,230,49,1569
117,5,227,50,1655
117,6,226,52,1787
117,7,225,51,1808
119,3,67,309,830
119,4,71,307,811
119,5,66,308,754
119,6,64,309,773
119,7,61,309,776
119,8,59,309,739
119,9,56,311,734
120,3,330,237,566
120,4,326,237,668
120,5,326,233,769
120,6,326,233,810
120,7,318,233,909
120,8,312,233,954
120,9,303,235,1022
121,3,41,188,787
121,4,39,183,658
121,5,37,178,532
121,6,38,177,426
121,7,32,170,393
121,8,36,173,334
121,9,36,175,304
122,3,1809,496,8026
122,4,1790,481,8777
122,5,1783,479,9114
122,6,1773,479,8829
122,7,1735,542,5606
122,8,1719,542,5636
124,4,74,429,755
124,5,68,424,794
124,6,66,427,867
124,7,64,428,931
124,8,62,427,1008
124,9,59,422,1109
128,6,1859,733,389
128,7,1855,733,374
128,8,1848,735,305
128,9,1845,734,259
98,7,280,96,3901
98,8,277,97,4209
98,9,273,97,4434
