Track ID,Frame,Center X,Center Y,Mask Area
394,2,583,323,28614
394,3,666,370,22885
394,4,676,373,22891
394,5,699,382,21850
394,6,715,390,21352
394,7,729,390,21366
394,8,747,393,20577
394,9,757,394,20433
394,10,761,396,20358
394,11,777,391,20536
394,12,782,396,20049
395,2,1176,363,1059
395,3,1187,362,961
395,4,1199,364,938
395,5,1208,363,897
395,6,1217,362,939
395,7,1228,365,747
395,8,1236,365,748
395,9,1234,370,625
396,2,858,873,4759
396,3,869,878,4481
396,4,877,874,4780
396,5,882,872,4960
396,6,887,868,5153
396,7,899,864,5303
396,8,926,857,5827
396,9,920,857,5627
396,10,928,854,5918
396,11,936,852,6254
396,12,943,854,6103
397,2,1469,824,525
397,3,1469,822,506
397,4,1471,829,330
397,5,1474,828,332
397,6,1477,830,232
397,7,1475,826,188
397,8,1480,824,140
397,9,1481,823,140
399,5,175,74,5045
399,6,188,70,5223
399,7,197,71,5604
399,8,201,76,5874
399,9,203,78,5946
399,10,206,76,5946
399,11,210,78,6071
399,12,215,80,6125
400,6,1171,808,569
