Track ID,Frame,Center X,Center Y,Mask Area
121,1,405,367,26067
121,2,414,360,25451
121,3,419,358,25625
121,4,383,408,29907
121,5,387,405,29904
121,6,430,348,24832
121,7,432,340,23764
121,8,428,338,23062
121,9,425,341,22200
121,10,428,339,21595
121,11,427,333,20594
121,12,433,330,20414
177,2,654,69,628
177,3,657,67,586
177,4,667,69,619
177,5,676,72,670
177,6,683,71,672
177,7,690,71,761
177,8,698,72,814
177,9,699,64,822
177,10,708,67,844
177,11,717,69,841
177,12,723,69,840
178,2,1578,380,40367
178,3,1581,378,38637
178,4,1582,378,38867
178,5,1585,377,37950
178,6,1587,376,36892
178,7,1589,369,35726
178,8,1597,374,35657
178,9,1603,297,28847
178,10,1610,298,27715
178,11,1611,293,27915
178,12,1612,290,28493
180,2,1260,557,372
180,3,1263,560,421
180,4,1278,541,836
180,5,1280,541,819
180,6,1283,544,818
180,7,1286,547,886
180,8,1284,556,872
180,9,1287,557,904
180,10,1287,560,822
180,11,1290,565,891
180,12,1290,570,904
181,4,1220,777,389
181,5,1231,776,533
181,6,1229,784,533
181,7,1238,786,589
181,8,1238,789,637
181,9,1246,792,577
181,10,1252,796,581
181,11,1257,798,577
181,12,1261,803,587
182,6,1382,890,2106
182,7,1391,890,2148
182,8,1406,890,2130
182,9,1417,890,2160
182,10,1459,890,1923
182,11,1469,889,2046
182,12,1476,888,2100
183,8,1409,784,446
183,9,1422,785,530
183,10,1426,785,574
183,11,1433,785,617
183,12,1438,781,718
184,8,1206,486,221
184,9,1206,485,219
184,10,1208,489,286
184,11,1210,493,266
184,12,1207,498,234
185,8,115,766,4064
185,9,113,767,3944
185,10,109,762,4425
185,11,111,767,4461
185,12,113,769,4846
186,10,1609,686,7118
186,11,1626,692,5946
186,12,1634,688,6655
187,11,1198,167,482
187,12,1204,166,503
188,12,762,477,454
