Track ID,Frame,Center X,Center Y,Mask Area
189,2,1764,822,2855
189,3,1768,824,2922
189,4,1768,823,2865
189,5,1771,825,2981
189,6,1775,828,3066
189,7,1779,831,3241
189,8,1783,834,3271
189,9,1789,808,3933
189,10,1793,808,4031
189,11,1797,806,3743
189,12,1799,808,3746
190,2,1195,534,11263
190,3,1197,541,12005
190,4,1210,556,13632
190,5,1196,572,14778
190,6,1200,563,15581
190,7,1197,564,16584
190,8,1186,583,18764
190,9,1166,596,21780
190,10,1164,603,22814
190,11,1206,604,21253
190,12,1226,619,21635
191,2,1824,670,734
191,3,1822,671,770
191,4,1819,671,721
191,5,1818,673,723
191,6,1814,680,847
191,7,1814,680,855
191,8,1812,679,842
191,9,1812,686,867
192,2,1512,415,633
192,3,1508,403,495
192,4,1509,415,633
192,5,1501,414,767
192,6,1499,413,790
192,7,1503,433,1025
192,8,1492,406,760
192,9,1487,407,835
192,10,1484,408,847
192,11,1480,409,903
192,12,1478,410,941
193,2,1157,805,365
193,3,1161,806,415
193,4,1160,802,471
193,5,1159,803,503
193,6,1188,834,999
194,2,1217,876,317
194,3,1218,877,358
194,4,1222,876,416
194,5,1220,872,564
194,6,1222,872,572
195,2,633,697,6659
195,3,708,735,8723
195,4,728,757,7992
195,5,799,762,9980
195,6,767,745,10849
195,7,820,750,13346
195,8,906,748,16067
195,9,947,738,16350
196,2,410,724,402
196,3,404,722,450
196,4,401,719,448
196,5,399,721,393
196,6,398,722,378
196,7,396,724,391
196,8,394,723,423
196,9,392,725,385
196,10,393,727,400
196,11,391,726,479
196,12,382,721,428
197,2,1573,564,279
197,3,1577,580,404
197,4,1577,587,446
197,5,1567,679,1213
197,6,1566,685,1275
197,7,1564,684,1411
197,8,1563,686,1540
197,9,1561,687,1605
197,10,1560,691,1585
197,11,1558,692,1640
197,12,1555,695,1744
198,2,1443,753,329
199,2,1644,772,300
199,3,1644,770,277
199,4,1647,781,180
199,5,1644,785,166
200,2,267,483,826
200,3,267,487,786
200,4,270,489,725
200,5,270,495,577
200,6,268,495,524
200,7,262,491,402
200,8,264,492,384
200,9,265,492,256
200,10,262,492,231
200,11,255,489,222
201,2,953,884,3380
201,3,959,884,3631
201,4,961,882,3701
201,5,963,879,4223
201,6,961,878,4548
201,7,966,877,4640
201,8,1003,865,6352
201,9,940,841,9532
201,10,952,844,9509
201,11,967,843,10162
201,12,969,843,10343
204,3,1746,437,5101
204,4,1724,441,4039
204,5,1721,467,3591
204,6,1719,469,3529
204,7,1742,481,4042
204,8,1719,471,3288
204,9,1756,488,4210
204,10,1737,483,3658
204,11,1724,478,3432
204,12,1724,481,3273
188,3,786,466,330
188,4,787,464,374
188,5,787,465,400
188,6,784,464,452
188,7,793,461,601
188,8,789,460,682
188,9,787,464,702
188,10,784,462,711
208,4,780,641,257
208,5,778,639,254
208,6,772,635,299
208,7,770,637,297
209,4,1009,760,378
209,5,1011,761,525
209,6,1015,763,648
209,7,1014,762,689
209,8,1016,761,757
210,4,1884,274,1469
210,5,1884,278,1530
210,6,1886,274,1460
210,7,1885,273,1419
210,8,1884,272,1454
210,9,1881,271,1499
210,10,1882,261,1368
210,11,1881,229,1078
210,12,1881,237,1228
211,4,1026,209,289
211,5,1025,207,303
211,6,1025,208,294
212,4,505,747,795
212,5,504,749,809
212,6,495,738,598
212,7,501,734,573
212,8,491,736,579
212,9,494,742,481
213,5,1864,512,1042
213,6,1865,514,1055
213,7,1867,518,973
213,8,1867,519,1030
213,9,1864,518,1146
213,10,1868,528,1060
213,11,1868,530,1126
213,12,1866,531,1181
215,5,589,573,476
215,6,590,573,422
215,7,594,572,492
215,8,579,572,397
215,9,569,568,388
215,10,569,567,274
216,6,1437,586,367
217,6,764,529,323
217,7,758,526,402
217,8,768,534,447
217,9,798,512,1590
217,10,820,523,1947
217,11,838,514,2478
217,12,782,510,1599
218,6,753,584,219
218,7,748,583,240
218,8,739,576,315
218,9,732,574,273
218,10,724,566,329
218,11,722,566,354
218,12,719,564,316
219,6,1717,271,546
219,7,1713,271,510
219,8,1706,270,494
219,9,1705,268,488
219,10,1700,268,445
219,11,1698,269,448
219,12,1708,269,498
221,7,728,192,234
221,8,723,190,207
221,9,734,197,282
221,10,725,196,351
221,11,727,200,397
221,12,724,203,497
222,7,1042,90,220
222,8,1035,89,219
222,9,1033,85,278
222,10,1032,87,295
222,11,1026,88,301
222,12,1025,90,293
119,7,922,540,522
119,8,921,541,573
119,9,918,541,549
119,10,906,537,742
148,8,729,639,712
148,9,724,638,797
148,10,725,635,787
148,11,729,640,785
148,12,733,630,565
224,9,850,101,329
224,10,842,100,367
224,11,840,100,463
224,12,842,106,528
225,9,538,334,480
225,10,541,336,481
225,11,539,336,553
225,12,533,333,498
227,9,991,136,240
227,10,987,135,252
228,9,640,582,224
228,10,644,582,295
228,11,640,586,175
228,12,635,586,150
229,9,840,663,317
229,10,837,661,294
229,11,837,660,282
229,12,840,661,284
230,9,671,432,167
230,10,671,432,170
230,11,670,436,242
230,12,665,436,243
232,10,448,373,954
232,11,448,374,1154
232,12,447,380,1165
233,10,643,915,318
233,11,636,915,323
233,12,640,917,376
234,11,1533,516,487
234,12,1531,523,485
235,11,648,360,216
235,12,676,381,548
236,11,647,296,546
236,12,656,301,596
237,11,793,321,186
237,12,787,316,204
239,12,1143,303,443
240,12,452,563,1760
241,12,557,283,286
